objectid,county,slept_under_a_bed_net_in_percen,had_fever_or_malaria_in_percent,spending_per_person_in_ksh,spending_per_person_in_ksh_1
1,BARINGO,24.2,14.9,714.00,714
2,BOMET,26.3,39.5,666.00,666
3,BUNGOMA,27.8,37.6,1361.00,1361
4,BUSIA,40.7,42.8,836.00,836
5,EMBU,7.5,9.4,459.00,459
6,GARISSA,21.8,39.8,778.00,778
7,HOMABAY,38.4,46.6,600.00,600
8,ISIOLO,39.6,58.3,649.00,649
9,KAJIADO,42.6,33.7,433.00,433
10,KAKAMEGA,30.4,12.3,694.00,694
11,ELGEYO-MARAKWET,26.7,37.9,1620.00,1620
12,KERICHO,33.8,51.6,785.00,785
13,KIAMBU,14.5,22.8,2632.00,2632
14,KILIFI,38.5,45.4,1512.00,1512
15,KIRINYAGA,30,43.2,835.00,835
16,KISII,37.8,49,1192.00,1192
17,KISUMU,62.4,45.6,1845.00,1845
18,KITUI,13,50.5,971.00,971
19,KWALE,32.1,37.7,655.00,655
20,LAIKIPIA,12.3,14.9,784.00,784
21,LAMU,51.3,63.3,238.00,238
22,MACHAKOS,31.7,40.9,1791.00,1791
23,MAKUENI,10.8,51.1,825.00,825
24,MANDERA,4.6,35.2,369.00,369
25,MARSABIT,11.1,44,425.00,425
26,MERU,24,42.6,1530.00,1530
27,MIGORI,40.1,63,1006.00,1006
28,MOMBASA,50.6,48,3994.00,3994
29,MURANGA,11.4,36.2,1106.00,1106
30,NAIROBI,38,37.7,17625.00,17625
31,NAKURU,9.8,0,2379.00,2379
32,NANDI,18.9,50.9,629.00,629
33,NAROK,12.9,55.8,1509.00,1509
34,NYAMIRA,40.9,38.9,487.00,487
35,NYANDARUA,1.7,14.4,589.00,589
36,NYERI,5.7,13.4,1259.00,1259
37,SAMBURU,3.2,37.1,331.00,331
38,SIAYA,46.7,54.4,936.00,936
39,TAITA-TAVETA,30.8,48.8,598.00,598
40,TANA-RIVER,45.1,63.3,76.00,76
41,THARAKA-NITHI,41.3,33.8,109.00,109
42,TRANS-NZOIA,23,34.8,652.00,652
43,TURKANA,6,55.4,524.00,524
44,UASIN-GISHU,33.6,43.4,1163.00,1163
45,VIHIGA,28.5,33.4,594.00,594
46,WAJIR,18.3,54.8,275.00,275
47,WEST POKOT,15.9,60.4,366.00,366
